,Country,GDP,GDP per capita,Year
0,Nigeria,444.916,2233.45,2019
1,South Africa,371.298,6331.46,2019
2,Egypt,299.589,3019.72,2019
3,Algeria,183.687,4229.78,2019
4,Morocco,121.35,3409.95,2019
5,Kenya,99.246,2010.51,2019
6,Angola,92.191,3060.02,2019
7,Ethiopia,90.968,951.10,2019
8,Ghana,68.258,2262.57,2019
9,Tanzania,61.032,1172.18,2019
10,Democratic Republic of the Congo,48.458,495.08,2019
11,Côte d'Ivoire,45.252,1722.26,2019
12,Libya,44.964,6835.62,2019
13,Cameroon,39.219,1537.61,2019
14,Tunisia,36.204,3072.51,2019
15,Uganda,33.569,8[11]28.06,2019
16,Sudan,31.468,728.06,2019
17,Senegal,25.32,1510.20,2019
18,Zambia,24.615,1343.57,2019
19,Zimbabwe,22.29,1423.49,2019
20,Botswana,19.651,8263.22,2019
21,Mali,17.833,933.88,2019
22,Gabon,16.709,8031.44,2019
23,Mozambique,15.372,493.37,2019
24,Burkina Faso,14.882,744.24,2019
25,Mauritius,14.812,11693.55,2019
26,Namibia,13.961,5675.11,2019
27,Madagascar,12.734,470.67,2019
28,Guinea,12.623,926.33,2019
29,Equatorial Guinea,12.432,9140.32,2019
30,Chad,11.372,888.29,2019
31,Benin,11.184,954.10,2019
32,Republic of Congo,11.162,2443.75,2019
33,Rwanda,10.211,829.97,2019
34,Niger,9.724,487.68,2019
35,Somalia,7.903,,2019
36,Eritrea,7.718,1253.06,2019
37,Malawi,7.436,366.532,2019
38,Togo,5.592,682.40,2019
39,Mauritania,5.569,1191.51,2019
40,Eswatini,4.662,4205.67,2019
41,Sierra Leone,3.998,516.76,2019
42,Burundi,3.573,309.87,2019
43,Liberia,3.221,703.67,2019
44,South Sudan,3.151,235.52,2019
45,Lesotho,2.811,1372.51,2019
46,Djibouti,2.392,2218.05,2019
47,Central African Republic,2.285,440.99,2019
48,Cabo Verde,2.042,3650.11,2019
49,The Gambia,1.741,778.08,2019
50,Seychelles,1.654,17154.74,2019
51,Guinea-Bissau,1.538,865.74,2019
52,Comoros,0.726,832.87,2019
53,São Tomé and Príncipe,0.477,2147.16,2019
0,Nigeria,442.976,2148.91,2020
1,Egypt,361.875,3561.14,2020
2,South Africa,282.588,4735.75,2020
3,Algeria,147.323,3331.08,2020
4,Morocco,112.22,3121.38,2020
5,Kenya,101.048,2075.22,2020
6,Ethiopia,95.588,974.09,2020
7,Ghana,67.337,2187.79,2020
8,Tanzania,64.123,1105.55,2020
9,Angola,62.724,2021.31,2020
10,Côte d'Ivoire,61.502,2281.42,2020
11,Democratic Republic of the Congo,46.062,456.89,2020
12,Tunisia,39.226,3295.45,2020
13,Cameroon,39.036,1493.12,2020
14,Uganda,37.733,915.35,2020
15,Sudan,32.576,734.6,2020
16,Senegal,24.409,1455.47,2020
17,Libya,21.805,3282.04,2020
18,Zambia,18.909,1001.44,2020
19,Mali,17.685,899.22,2020
20,Burkina Faso,16.082,768.83,2020
21,Botswana,15.872,6557.51,2020
22,Benin,15.292,1258.92,2020
23,Gabon,15.145,7185.42,2020
24,Mozambique,14.557,455.01,2020
25,Guinea,14.238,1019.41,2020
26,Madagascar,14.199,514.85,2020
27,Zimbabwe,14.002,921.85,2020
28,Niger,12.971,535.83,2020
29,Mauritius,11.341,8950.7,2020
30,Chad,10.51,639.85,2020
31,Rwanda,10.428,823.4,2020
32,Namibia,10.252,4051.93,2020
33,Equatorial Guinea,10.028,7131.16,2020
34,Republic of Congo,9.964,2128.23,2020
35,Malawi,8.33,399.1,2020
36,Mauritania,7.428,1790.95,2020
37,Togo,5.719,690.28,2020
38,Somalia,4.918,,2020
39,South Sudan,4.177,303.15,2020
40,Sierra Leone,4.14,518.47,2020
41,Eswatini,3.848,3414.81,2020
42,Djibouti,3.408,3074.33,2020
43,Burundi,3.131,263.67,2020
44,Liberia,3.068,653.6,2020
45,Central African Republic,2.321,480.49,2020
46,Eritrea,2.075,585.16,2020
47,Lesotho,1.906,924.21,2020
48,Cape Verde,1.87,3358.33,2020
49,The Gambia,1.806,746.33,2020
50,Guinea-Bissau,1.392,766.75,2020
51,Comoros,1.2,1336.95,2020
52,Seychelles,1.198,12322.59,2020
53,São Tomé and Príncipe,0.417,1911.89,2020
0,Nigeria,480.48,2272.84,2021
1,Egypt,396.33,3974.75,2021
2,South Africa,329.6,6102.17,2021
3,Algeria,163.81,3638.33,2021
4,Morocco,126.04,3470.8,2021
5,Kenya,109.49,2198.59,2021
6,Ethiopia,92.76,939.51,2021
7,Ghana,75.49,2413.1,2021
8,Angola,70.34,2200.68,2021
9,Tanzania,69.24,1159.19,2021
10,Ivory Coast,68.84,2489.1,2021
11,Democratic Republic of the Congo,54.83,593.56,2021
12,Cameroon,44.81,1645.81,2021
13,Uganda,43.24,1018.44,2021
14,Tunisia,42.73,3555.59,2021
15,Sudan,35.92,789.45,2021
16,Senegal,27.58,1602.9,2021
17,Libya,27.3,4068.61,2021
18,Zimbabwe,25.79,1664.76,2021
19,Zambia,21.7,1115.27,2021
20,Burkina Faso,19.93,926.2,2021
21,Mali,19.56,966.14,2021
22,Gabon,18.29,8569.22,2021
23,Benin,18.07,1446.83,2021
24,Botswana,17.61,7349.88,2021
25,Guinea,16.72,1168.18,2021
26,Mozambique,15.83,429.27,2021
27,Niger,15.64,622.23,2021
28,Madagascar,14.1,498.68,2021
29,Republic of Congo,12.74,2655.72,2021
30,Equatorial Guinea,12.53,8625.76,2021
31,Chad,12.35,729.84,2021
32,Namibia,12.21,4693.46,2021
33,Malawi,12.15,565.8,2021
34,Mauritius,11.0,8681.61,2021
35,Rwanda,10.4,802.26,2021
36,Mauritania,9.16,2161.28,2021
37,Togo,8.49,1000.44,2021
38,Somalia,5.42,350.36,2021
39,Eswatini,4.52,3965.43,2021
40,Sierra Leone,4.41,541.06,2021
41,Djibouti,3.65,3654.5,2021
42,Liberia,3.38,703.41,2021
43,South Sudan,3.26,230.13,2021
44,Burundi,3.19,261.05,2021
45,Central African Republic,2.59,525.91,2021
46,Lesotho,2.48,1187.51,2021
47,Eritrea,2.25,625.97,2021
48,The Gambia,2.04,746.33,2021
49,Cape Verde,1.89,3346.55,2021
50,Guinea-Bissau,1.59,858.04,2021
51,Seychelles,1.29,13140.37,2021
52,Comoros,1.28,1390.06,2021
53,São Tomé and Príncipe,0.53,2392.89,2021
0,Nigeria,504.203,2326.23,2022
1,Egypt,469.094,4504.369,2022
2,South Africa,411.48,6738.926,2022
3,Algeria,187.155,4151.437,2022
4,Morocco,142.874,3896.214,2022
5,Angola,124.794,3790.704,2022
6,Kenya,114.858,2255.48,2022
7,Ethiopia,111.181,1097.584,2022
8,Tanzania,76.582,1245.04,2022
9,Ghana,75.996,2368.814,2022
10,Ivory Coast,68.63,2418.436,2022
11,Democratic Republic of the Congo,63.909,660.21,2022
12,Uganda,48.352,1105.59,2022
13,Tunisia,46.282,3815.82,2022
14,Cameroon,44.212,1584.003,2022
15,Sudan,42.762,916.033,2022
16,Libya,40.836,6025.68,2022
17,Zimbabwe,38.28,2420.22,2022
18,Senegal,27.542,1558.144,2022
19,Zambia,27.025,1348.36,2022
20,Gabon,22.221,10281.775,2022
21,Guinea,19.745,1345.568,2022
22,Mali,18.434,857.976,2022
23,Burkina Faso,18.268,824.884,2022
24,Botswana,18.005,7347.738,2022
25,Mozambique,17.873,542.095,2022
26,Benin,17.547,1366.871,2022
27,Equatorial Guinea,16.877,11264.416,2022
28,Madagascar,15.106,521.578,2022
29,Niger,14.639,561.222,2022
30,Republic of Congo,14.486,2945.102,2022
31,Chad,12.945,743.373,2022
32,Namibia,12.488,4808.922,2022
33,Rwanda,12.098,912.744,2022
34,Malawi,11.554,522.963,2022
35,Mauritius,11.497,9111.606,2022
36,Mauritania,10.091,2328.251,2022
37,Somalia,8.416,539.001,2022
38,Togo,8.359,960.833,2022
39,South Sudan,4.784,327.898,2022
40,Eswatini,4.669,4056.177,2022
41,Sierra Leone,4.101,493.572,2022
42,Liberia,3.9,735.185,2022
43,Djibouti,3.725,3665.827,2022
44,Burundi,3.686,292.619,2022
45,Lesotho,2.507,1186.744,2022
