Country,GDP,GDP per capita
Nigeria,442.976,2148.91
Egypt,361.875,3561.14
South Africa,282.588,4735.75
EAC,220.64,1184.87
Algeria,147.323,3331.08
Morocco,112.22,3121.38
Kenya,101.048,2075.22
Ethiopia,95.588,974.09
Ghana,67.337,2187.79
Tanzania,64.123,1105.55
Angola,62.724,2021.31
Côte d'Ivoire,61.502,2281.42
Democratic Republic of the Congo,46.062,456.89
Tunisia,39.226,3295.45
Cameroon,39.036,1493.12
Uganda,37.733,915.35
Sudan,32.576,734.6
Senegal,24.409,1455.47
Libya,21.805,3282.04
Zambia,18.909,1001.44
Mali,17.685,899.22
Burkina Faso,16.082,768.83
Botswana,15.872,6557.51
Benin,15.292,1258.92
Gabon,15.145,7185.42
Mozambique,14.557,455.01
Guinea,14.238,1019.41
Madagascar,14.199,514.85
Zimbabwe,14.002,921.85
Niger,12.971,535.83
Mauritius,11.341,8950.7
Chad,10.51,639.85
Rwanda,10.428,823.4
Namibia,10.252,4051.93
Equatorial Guinea,10.028,7131.16
Republic of Congo,9.964,2128.23
Malawi,8.33,399.1
Mauritania,7.428,1790.95
Togo,5.719,690.28
Somalia,4.918,
South Sudan,4.177,303.15
Sierra Leone,4.14,518.47
Eswatini,3.848,3414.81
Djibouti,3.408,3074.33
Burundi,3.131,263.67
Liberia,3.068,653.6
Central African Republic,2.321,480.49
Eritrea,2.075,585.16
Lesotho,1.906,924.21
Cape Verde,1.87,3358.33
The Gambia,1.806,746.33
Guinea-Bissau,1.392,766.75
Comoros,1.2,1336.95
Seychelles,1.198,12322.59
São Tomé and Príncipe,0.417,1911.89
Total,2333.978,
