Countries (or dependent territory),Official figure (where available)
Nigeria,206139589
Democratic Republic of the Congo,102561403
Egypt,101334404
Ethiopia,101862592
South Africa,59956820
Tanzania,59734218
Kenya,53771296
Uganda,45741007
Algeria,43000420
Sudan,42268269
Morocco,37034729
Mozambique,28013000
Ghana,31072940
Angola,24383301
Somalia,22316895
Ivory Coast,22671331
Madagascar,22434363
Cameroon,21917602
Burkina Faso,18450494
Niger,17138707
Malawi,16832900
Zambia,15473905
Mali,14528662
Senegal,14354690
Zimbabwe,13061239
Chad,11039873
Tunisia,10982754
Guinea,10628972
Rwanda,10515973
Benin,10008749
Burundi,9823828
South Sudan,8260490
Eritrea,6536000
Sierra Leone,6348350
Togo,6191155
Libya,5298152
Central African Republic,3859139
Mauritania,3718678
Republic of the Congo,3697490
Liberia,3476608
Namibia,2280700
Botswana,2024904
Lesotho,1894194
Gambia,1882450
Gabon,1802278
Guinea-Bissau,1530673
Mauritius,1261208
Equatorial Guinea,1222442
Eswatini,1119375
Djibouti,864618
Réunion (France),840974
Comoros,806200
Western Sahara[5],510713
Cape Verde,491875
Mayotte (France),212600
São Tomé and Príncipe,201784
Seychelles,90945
"Saint Helena, Ascension and Tristan da Cunha (UK)",5633
