Countries,Population
Nigeria,218625385
Ethiopia,121922416
Egypt,106981048
Democratic Republic of the Congo,96511548
Tanzania,63931876
South Africa,61081076
Kenya,56645588
Uganda,49333704
Sudan,46342103
Algeria,45753509
Morocco,37945593
Angola,35405823
Mozambique,33413232
Ghana,32642373
Madagascar,29434823
Cameroon,28161144
Ivory Coast,27974485
Niger,26412604
Burkina Faso,22313534
Mali,21691072
Malawi,20341255
Zambia,19652620
Senegal,17826571
Chad,17589364
Somalia,16985528
Zimbabwe,15378243
Guinea,14008576
Rwanda,13736863
Benin,12902012
Burundi,12767455
Tunisia,12110192
South Sudan,11504110
Togo,8751274
Sierra Leone,8368970
Libya,7093307
Republic of the Congo,5849868
Liberia,5347243
Central African Republic,5031186
Mauritania,4949486
Eritrea,3663117
Namibia,2651478
Gambia,2584004
Botswana,2466321
Gabon,2353692
Lesotho,2182040
Guinea-Bissau,2081340
Equatorial Guinea,1518007
Mauritius,1276638
Eswatini,1188479
Djibouti,1022219
Comoros,914472
Sahrawi Arab Democratic Republic[6],633212
Cape Verde,570239
São Tomé and Príncipe,228950
Seychelles,99768
